brand,discounted_price,ratings
OPPO,16490,4.3
OPPO,14499,4.3
OPPO,13999,4.4
OPPO,19428,4.1
OPPO,20880,4.3
OPPO,16999,4.4
OPPO,17990,4.4
OPPO,9370,4.5
OPPO,10285,4.3
OPPO,17397,4.3
OPPO,17999,4.3
OPPO,17800,4.3
OPPO,17999,4.3
REALME,9299,4.5
REALME,17899,4.3
REALME,19999,4.4
REALME,22999,4.3
REALME,24999,4.5
REALME,13999,4.2
REALME,26999,4.4
REALME,16999,4.3
REALME,20999,4.3
REALME,13999,4.4
REALME,16999,4.4
REALME,13999,4.4
REALME,10999,4.5
REALME,14999,4.5
REALME,28999,4.4
REALME,6999,4.5
REALME,7499,4.4
REALME,7499,4.4
REALME,19999,4.4
REALME,9499,4.6
REALME,24999,4.5
REALME,24999,4.5
REALME,25999,4.5
REALME,12999,4.4
REALME,12999,4.4
REALME,9499,4.6
REALME,6299,4.1
REALME,16999,4.4
REALME,14999,4.5
REALME,7499,4.4
REALME,15999,4.5
REALME,17499,4.4
REALME,15999,4.5
REALME,15990,4.3
REALME,15499,4.4
REALME,13999,4.2
REALME,28999,4.4
REALME,14999,4.5
REALME,14999,4.5
REALME,15499,4.4
REALME,16999,4.3
REALME,28999,4.4
REALME,17999,4.4
REALME,15499,4.3
REALME,38999,4.1
REALME,16499,4.3
REALME,6870,4.5
REALME,16999,4.3
REALME,16999,4.3
REALME,6749,4.1
REALME,9299,4.5
REALME,13499,4.4
REALME,5749,4.3
REALME,6749,4.1
REALME,13999,4.5
REALME,11999,4.4
REALME,6749,4.1
REALME,17999,4.4
REALME,13999,4.5
REALME,15999,4.4
REALME,18999,4.4
REALME,8999,4.3
REALME,8999,4.3
REALME,11999,4.5
REALME,20999,4.3
REALME,16999,4.3
REALME,8499,4.3
REALME,8499,4.3
REALME,7499,4.4
REALME,19999,4.3
REALME,18999,4.4
REALME,34999,4.3
REALME,6880,4.5
REALME,8999,4.4
REALME,9499,4.4
REALME,10499,4.4
REALME,18999,4.4
REALME,9999,4.4
REALME,9999,4.4
REALME,5299,4.3
REALME,34999,4.3
REALME,15380,4.3
REALME,9999,4.4
REALME,16499,4.3
REALME,34999,4.3
REALME,6999,4.5
REALME,11999,4.4
REALME,21890,4.2
REALME,12999,4.4
REALME,16999,4.3
REALME,5749,4.3
REALME,9499,4.4
REALME,5749,4.3
REALME,16999,4.4
REALME,8999,4.3
REALME,18999,4.4
REALME,17999,4.4
REALME,18999,4.4
REALME,18999,4.4
REALME,19999,4.4
REALME,17999,4.4
REALME,15999,4.4
REALME,25999,4.5
REALME,15999,4.5
REALME,15499,4.3
REALME,29999,4.3
REALME,31999,4.3
REALME,33999,4.3
REALME,33999,4.3
REALME,33999,4.3
REALME,29999,4.3
REALME,29999,4.3
